3D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
4.000000e+00  1.200000e+01  2.444091e-05
4.000000e+00  1.300000e+01  1.216687e-05
4.000000e+00  1.400000e+01  3.472495e-06
4.000000e+00  1.500000e+01  1.209454e-06
4.000000e+00  1.600000e+01  4.989283e-07
4.000000e+00  1.700000e+01  2.174265e-07
4.000000e+00  1.800000e+01  6.576029e-08
4.000000e+00  1.900000e+01  2.320997e-08
4.000000e+00  2.000000e+01  8.167278e-09
4.000000e+00  2.100000e+01  4.617127e-09
4.000000e+00  2.200000e+01  2.848022e-09
4.000000e+00  2.300000e+01  2.713395e-09
4.000000e+00  2.400000e+01  2.748300e-09
4.000000e+00  2.500000e+01  2.721643e-09
4.000000e+00  2.600000e+01  2.719807e-09
4.000000e+00  2.700000e+01  2.733339e-09
4.000000e+00  2.800000e+01  2.754752e-09
4.000000e+00  2.900000e+01  2.691873e-09
4.000000e+00  3.000000e+01  2.746568e-09
4.000000e+00  3.100000e+01  2.699925e-09
4.000000e+00  3.200000e+01  2.743691e-09
4.000000e+00  3.300000e+01  2.730101e-09
4.000000e+00  3.400000e+01  2.740914e-09
4.000000e+00  3.500000e+01  2.720015e-09
4.000000e+00  3.600000e+01  2.719380e-09
4.000000e+00  3.700000e+01  3.041540e-09
4.000000e+00  3.800000e+01  2.728059e-09
4.000000e+00  3.900000e+01  2.750795e-09
4.000000e+00  4.000000e+01  2.760415e-09
4.000000e+00  4.100000e+01  2.712816e-09
4.000000e+00  4.200000e+01  2.856737e-09
4.000000e+00  4.300000e+01  2.871802e-09
4.000000e+00  4.400000e+01  2.741841e-09
4.000000e+00  4.500000e+01  2.743299e-09
4.000000e+00  4.600000e+01  2.732806e-09
4.000000e+00  4.700000e+01  2.723388e-09
4.000000e+00  4.800000e+01  2.797904e-09
4.000000e+00  4.900000e+01  2.739733e-09
4.000000e+00  5.000000e+01  2.729453e-09
4.000000e+00  5.100000e+01  2.733993e-09
4.000000e+00  5.200000e+01  2.730930e-09
4.000000e+00  5.300000e+01  2.829205e-09
4.000000e+00  5.400000e+01  2.914564e-09
4.000000e+00  5.500000e+01  2.737935e-09
4.000000e+00  5.600000e+01  2.751773e-09
4.000000e+00  5.700000e+01  2.753013e-09
4.000000e+00  5.800000e+01  2.714888e-09
4.000000e+00  5.900000e+01  2.774720e-09
4.000000e+00  6.000000e+01  2.808465e-09
8.000000e+00  1.000000e+00  1.205641e+00
8.000000e+00  2.000000e+00  6.452776e-01
8.000000e+00  3.000000e+00  2.839789e-01
8.000000e+00  4.000000e+00  1.364142e-01
8.000000e+00  5.000000e+00  4.856117e-02
8.000000e+00  6.000000e+00  2.605062e-02
8.000000e+00  7.000000e+00  8.249337e-03
8.000000e+00  8.000000e+00  4.561452e-03
