1D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
------------  ------------  ------------
1.000000e+00  1.000000e+00  2.007893e-01
1.000000e+00  2.000000e+00  5.011427e-02
1.000000e+00  3.000000e+00  5.076068e-03
1.000000e+00  4.000000e+00  7.385839e-04
1.000000e+00  5.000000e+00  8.770976e-05
1.000000e+00  6.000000e+00  1.572992e-05
1.000000e+00  7.000000e+00  2.079715e-06
1.000000e+00  8.000000e+00  3.208464e-07
1.000000e+00  9.000000e+00  3.663718e-08
1.000000e+00  1.000000e+01  5.202396e-09
1.000000e+00  1.100000e+01  6.754388e-10
1.000000e+00  1.200000e+01  1.156353e-10
1.000000e+00  1.300000e+01  1.254095e-11
1.000000e+00  1.400000e+01  1.793677e-12
1.000000e+00  1.500000e+01  2.524544e-13
1.000000e+00  1.600000e+01  9.190299e-14
1.000000e+00  1.700000e+01  7.121605e-14
1.000000e+00  1.800000e+01  5.731302e-14
1.000000e+00  1.900000e+01  6.948072e-14
1.000000e+00  2.000000e+01  4.460472e-14
1.000000e+00  2.100000e+01  5.916842e-14
1.000000e+00  2.200000e+01  5.517063e-14
1.000000e+00  2.300000e+01  7.856720e-14
1.000000e+00  2.400000e+01  5.737537e-14
1.000000e+00  2.500000e+01  5.787076e-14
1.000000e+00  2.600000e+01  6.313025e-14
1.000000e+00  2.700000e+01  5.739728e-14
1.000000e+00  2.800000e+01  5.789928e-14
1.000000e+00  2.900000e+01  5.878656e-14
1.000000e+00  3.000000e+01  4.561077e-14
1.000000e+00  3.100000e+01  6.285902e-14
1.000000e+00  3.200000e+01  6.516318e-14
1.000000e+00  3.300000e+01  4.807824e-14
1.000000e+00  3.400000e+01  5.590882e-14
1.000000e+00  3.500000e+01  5.300068e-14
1.000000e+00  3.600000e+01  4.927855e-14
1.000000e+00  3.700000e+01  5.512057e-14
1.000000e+00  3.800000e+01  5.033656e-14
1.000000e+00  3.900000e+01  5.919935e-14
1.000000e+00  4.000000e+01  5.704629e-14
1.000000e+00  4.100000e+01  4.488762e-14
1.000000e+00  4.200000e+01  6.142364e-14
1.000000e+00  4.300000e+01  5.225372e-14
1.000000e+00  4.400000e+01  5.053020e-14
1.000000e+00  4.500000e+01  4.474058e-14
1.000000e+00  4.600000e+01  5.119479e-14
1.000000e+00  4.700000e+01  4.729617e-14
1.000000e+00  4.800000e+01  4.846962e-14
1.000000e+00  4.900000e+01  4.470931e-14
1.000000e+00  5.000000e+01  5.261123e-14
1.000000e+00  5.100000e+01  5.703541e-14
1.000000e+00  5.200000e+01  5.051122e-14
1.000000e+00  5.300000e+01  5.244324e-14
1.000000e+00  5.400000e+01  4.189943e-14
1.000000e+00  5.500000e+01  5.099764e-14
1.000000e+00  5.600000e+01  5.055521e-14
1.000000e+00  5.700000e+01  5.139496e-14
1.000000e+00  5.800000e+01  4.580875e-14
1.000000e+00  5.900000e+01  5.399516e-14
1.000000e+00  6.000000e+01  4.779972e-14
2.000000e+00  1.000000e+00  3.122290e-01
2.000000e+00  2.000000e+00  1.077910e-01
2.000000e+00  3.000000e+00  1.649436e-02
