2D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
------------  ------------  ------------
1.000000e+00  1.000000e+00  3.905988e-01
1.000000e+00  2.000000e+00  1.421203e-01
1.000000e+00  3.000000e+00  1.791239e-02
1.000000e+00  4.000000e+00  4.704279e-03
1.000000e+00  5.000000e+00  1.340655e-03
1.000000e+00  6.000000e+00  2.197494e-04
1.000000e+00  7.000000e+00  4.124803e-05
1.000000e+00  8.000000e+00  8.695074e-06
1.000000e+00  9.000000e+00  2.030972e-06
1.000000e+00  1.000000e+01  4.044138e-07
1.000000e+00  1.100000e+01  9.480259e-08
1.000000e+00  1.200000e+01  2.344439e-08
1.000000e+00  1.300000e+01  3.785672e-09
1.000000e+00  1.400000e+01  6.407091e-10
1.000000e+00  1.500000e+01  1.414074e-10
1.000000e+00  1.600000e+01  3.850025e-11
1.000000e+00  1.700000e+01  8.613372e-12
1.000000e+00  1.800000e+01  1.703686e-12
1.000000e+00  1.900000e+01  4.084276e-13
1.000000e+00  2.000000e+01  1.111044e-13
1.000000e+00  2.100000e+01  8.085312e-14
1.000000e+00  2.200000e+01  6.902078e-14
1.000000e+00  2.300000e+01  6.301629e-14
1.000000e+00  2.400000e+01  7.160024e-14
1.000000e+00  2.500000e+01  8.077166e-14
1.000000e+00  2.600000e+01  5.799691e-14
1.000000e+00  2.700000e+01  7.271756e-14
1.000000e+00  2.800000e+01  6.267493e-14
1.000000e+00  2.900000e+01  5.757218e-14
1.000000e+00  3.000000e+01  6.528714e-14
1.000000e+00  3.100000e+01  6.666261e-14
1.000000e+00  3.200000e+01  6.400688e-14
1.000000e+00  3.300000e+01  6.337346e-14
1.000000e+00  3.400000e+01  5.946580e-14
1.000000e+00  3.500000e+01  6.957020e-14
1.000000e+00  3.600000e+01  5.641505e-14
1.000000e+00  3.700000e+01  6.043192e-14
1.000000e+00  3.800000e+01  6.577267e-14
1.000000e+00  3.900000e+01  5.263362e-14
1.000000e+00  4.000000e+01  5.426389e-14
1.000000e+00  4.100000e+01  6.618691e-14
1.000000e+00  4.200000e+01  6.731044e-14
1.000000e+00  4.300000e+01  6.340853e-14
1.000000e+00  4.400000e+01  6.359102e-14
1.000000e+00  4.500000e+01  5.969900e-14
1.000000e+00  4.600000e+01  6.006921e-14
1.000000e+00  4.700000e+01  6.122777e-14
1.000000e+00  4.800000e+01  6.235962e-14
1.000000e+00  4.900000e+01  5.636161e-14
1.000000e+00  5.000000e+01  6.616902e-14
1.000000e+00  5.100000e+01  5.791264e-14
1.000000e+00  5.200000e+01  6.334062e-14
1.000000e+00  5.300000e+01  6.550338e-14
1.000000e+00  5.400000e+01  5.686882e-14
